Query,KCC Ans
How do I manage sucking insects in my rose crop?,"To control sucking insects in roses, spray imidacloprid at 5 ml per liter of water. Apply every 10-14 days and remove affected leaves."
Why is milk production decreasing in my buffalo?,"For low milk production in buffalo, provide a balanced diet with glyco powder and consult a veterinarian for health checks."
Why is my mango tree drying up?,A drying mango tree may have fungal issues. Spray copper oxychloride at 2 grams per liter of water every 10-14 days. Ensure proper irrigation.
How do I apply for a Kisan Credit Card?,"To apply for a Kisan Credit Card, contact your nearest bank manager. They'll guide you through the application process and requirements."
Why are yellow-colored insects appearing in my wheat crop?,"For yellow insects in wheat, spray neem oil at 5 ml per liter of water. Apply every 7-10 days, targeting the affected areas."
How do I control insect problems in my mustard crop?,"To manage mustard insects, spray imidacloprid at 0.5 ml per liter of water. Apply every 10-14 days and monitor pest activity."
When should I plant my papaya nursery?,Plant your papaya nursery in July-August for optimal growth and transplanting.
When is the best time to plant broccoli?,"Sow broccoli in early September to mid-November, depending on your region, for best results."
When should I sow okra?,Sow okra between February and March for the best growth and yield.
How do I control flies eating pin heads in my mushrooms?,"To control flies in mushrooms, spray linden at 20 ml per liter of water. Apply around the beds and maintain proper hygiene."
Where can I get training for medicinal plants?,"For medicinal plant training, contact GB Pant University or the Central Institute of Medicinal and Aromatic Plants (CIMAP)."
What should I do for fish farming?,"For fish farming information, contact your District Fisheries Officer or the Fisheries Department at GB Pant University."
Why is there a pest in my mustard field?,"For mustard pests, spray imidacloprid at 5 ml per liter of water. Apply every 10-14 days and monitor pest activity."
Which sugarcane varieties should I grow?,Recommended sugarcane varieties include COS-8436 and COS-8432. These are high-yielding and disease-resistant.
How do I control insect infestation in my gladiolus flowers?,"For gladiolus flower insects, spray neem oil at 5 ml per liter of water. Apply every 7-10 days, targeting the affected areas."
Which papaya varieties should I grow?,"Recommended papaya varieties include Pant Papaya-1, Kombator-1, Pusa Giant, Pusa Dwarf, and Pusa Nanha."
How do I control insect infestation in my radish leaves?,"For radish leaf insects, spray neem oil at 5 ml per liter of water. Apply every 7-10 days, targeting the affected areas."
Which litchi varieties are best?,"Top litchi varieties include Rose Scented, Calcutta, and Late Bedana. These are known for their flavor and yield."
How do I control red worms in my sponge gourd?,"For red worms in sponge gourd, dust malathion 5% powder around the plants. Apply every 10-14 days and remove affected parts."
Why are my litchi bores falling?,"To prevent litchi bore drop, spray Planofix at 5 ml per liter of water before flowering. Ensure proper irrigation."
How do I prevent litchi fruit from rotting?,"To prevent litchi fruit rot, irrigate in the afternoon and spray carbendazim at 2 grams per liter of water every 10-14 days."
Why is my wheat crop affected by Ballia after worming?,"For wheat pest issues, spray neem oil at 5 ml per liter of water. Apply every 7-10 days and remove affected plant parts."
Why is my bottle gourd crop turning pale?,Pale bottle gourd plants may have fungal issues. Spray mancozeb at 2 grams per liter of water every 7-10 days. Ensure proper nutrient management.
Why are my onion plants turning yellow?,Yellowing onion plants may be due to fungal issues. Spray sulfex at 2 grams per liter of water every 7-10 days.
How do I control black insects in my rose leaves?,"For black insects in roses, spray malathion at 2 ml per liter of water. Apply every 7-10 days, targeting the undersides of leaves."
How do I control pests in my potato crop?,"For potato pests, spray chlorpyrifos at 3 liters per hectare in 700 liters of water. Apply with irrigation for best results."
Why are my Malta flowers dropping?,Malta flower drop can be prevented by spraying NAA at 100 ml in 700 liters of water. Apply during flowering.
Which onion varieties should I grow?,"Recommended onion varieties include Pusa Lal, Pusa Ratnanagar, and Punjab Red. These are high-yielding and disease-resistant."
When is the sowing time for corn?,Sow corn between March 15 and April 15 for optimal growth and yield.
Which sorghum varieties should I grow?,"Recommended sorghum varieties include Pusa Chari-1, JS-20, Composite-1, and UP Hari-1."
Why is my wheat crop curling?,Wheat curling may be due to pest issues. Apply furadan at 25 kg per hectare with irrigation to control soil pests.
When is the sowing time for ginger?,Sow ginger in June-July for hilly areas to ensure optimal growth.
How do I control pests in my potato crop?,"To control potato pests, apply chlorpyrifos at 2 ml per liter of water with irrigation. Use 20 kg per hectare."
How do I manage pest attacks in my peach crop?,"For peach pests, spray malathion at 2 ml per liter of water. Apply every 7-10 days, targeting the affected areas."
How do I control pod borers in my gram crop?,"To control pod borers in gram, spray neem oil at 5 ml per liter of water. Apply every 7-10 days and remove affected pods."
What's the fertilizer recommendation for sugarcane?,"For sugarcane, apply 160 kg nitrogen, 60 kg phosphorus, and 40 kg potassium per hectare, along with 15 tons of farmyard manure."
What's the irrigation period for potatoes?,Irrigate potatoes every 15 days to maintain soil moisture and support tuber development.
How do I control pests in my gladiolus crop?,"For gladiolus pests, spray neem oil at 5 ml per liter of water. Apply every 7-10 days, targeting the affected areas."
Why are my jackfruit fruits falling?,"To prevent jackfruit fruit drop, apply boron at 2 grams per liter of water as a foliar spray during fruit set."
When is the sowing period for sugarcane?,Sow sugarcane in April for optimal growth and yield.
How do I cure powdery mildew in my bottle gourd?,"To control powdery mildew in bottle gourd, spray sulfex at 3 kg in 1000 liters of water. Apply every 10-14 days."
Why are my chilli plants turning yellow?,Yellowing chilli plants may be due to fungal issues. Spray carbendazim at 2 grams per liter of water every 7-10 days.
How many days does it take for sugarcane to germinate?,"Sugarcane typically germinates in 45-60 days, depending on soil conditions and variety."
What are the names of neem-based insecticides?,"Neem-based insecticides include Azadirachtin, Nimarin, Achook, Nimbicidin, and Iconim. These are eco-friendly and effective."
How do I manage diseases and pests in my litchi crop?,"To manage litchi diseases and pests, spray zinc sulphate at 2 grams per liter of water 30 days before disease onset. Use neem oil for pest control."
What should I do about problems in my sugarcane crop?,"For sugarcane issues, spray neem oil at 5 ml per liter of water for pests. Ensure balanced fertilization and proper irrigation."
How do I manage weeds in my potato crop?,"To control weeds in potatoes, apply gramoxone at 2.25 liters in 1000 liters of water as a pre-emergence spray."
How do I control insect problems in my mango crop?,"For mango insects, spray neem oil at 5 ml per liter of water. Apply every 7-10 days, targeting the affected areas."
How do I manage pest attacks in my cucumber crop?,"For cucumber pests, spray neem oil at 5 ml per liter of water. Apply every 7-10 days, targeting the undersides of leaves."
Which bull varieties are best?,"Recommended bull varieties include Kajri Banarasi, Kajri Etah, and Mirzapuri. These are strong and suitable for agricultural work."
When should I plant fenugreek in hilly areas?,Plant fenugreek in hilly areas in March-April for optimal growth and yield.
Which maize varieties should I grow?,"Recommended maize varieties include Ganga-11, HIM-123, and HIM-129. These are high-yielding and adaptable."
Which French bean varieties are best?,Top French bean varieties include Pant Anupama and Pant Bean-2. These are high-yielding and disease-resistant.
Why is my sorghum crop under attack?,"For sorghum pests, use varieties like SSG-988 or PC-23. Spray neem oil at 5 ml per liter of water for control."
Why has rust disease started in my paddy crop?,"To control paddy rust, spray zinc at 5 kg and lime at 25 kg in 1000 liters of water. Apply every 10-14 days."
How do I control insect infestation in my sponge gourd?,"For sponge gourd insects, spray malathion at 2 ml per liter of water. Apply every 7-10 days, targeting the affected areas."
What's a holistic method for farming?,"For holistic farming, use compost and organic manures. Contact your local KVK for detailed composting techniques."
